model,variant,dataset,metric_name,metric_value,source_file
CLIP,zero_shot,MSVD,R@1,0.33090804307891797,clip_zeroshot_results.json
CLIP,zero_shot,MSVD,R@5,0.59262327558261,clip_zeroshot_results.json
CLIP,zero_shot,MSVD,R@10,0.6970068076216547,clip_zeroshot_results.json
CLIP,zero_shot,MSVD,MRR,0.452596668310793,clip_zeroshot_results.json
CLIP,zero_shot,MSVD,MeanRank,23.68800201707308,clip_zeroshot_results.json
CLIP,zero_shot,MSVD,MedianRank,3.0,clip_zeroshot_results.json
CLIP,zero_shot,MSVD,Top1Accuracy,0.33090804307891797,clip_zeroshot_results.json
CLIP,zero_shot,MSVD,Top5Accuracy,0.59262327558261,clip_zeroshot_results.json
CLIP,zero_shot,MSVD,avg_query_latency_sec,0.008983800619302821,clip_zeroshot_results.json
CLIP,fine_tuned,MSVD,R@1,0.36638691784029104,clip_finetuned_results.json
CLIP,fine_tuned,MSVD,R@5,0.6792493606598711,clip_finetuned_results.json
CLIP,fine_tuned,MSVD,R@10,0.7866945214854303,clip_finetuned_results.json
CLIP,fine_tuned,MSVD,MRR,0.5066886064597899,clip_finetuned_results.json
CLIP,fine_tuned,MSVD,MeanRank,14.134351474984692,clip_finetuned_results.json
CLIP,fine_tuned,MSVD,MedianRank,2.0,clip_finetuned_results.json
CLIP,fine_tuned,MSVD,Top1Accuracy,0.36638691784029104,clip_finetuned_results.json
CLIP,fine_tuned,MSVD,Top5Accuracy,0.6792493606598711,clip_finetuned_results.json
CLIP,fine_tuned,MSVD,avg_query_latency_sec,0.03653409654261232,clip_finetuned_results.json
CLIP,fine_tuned,MSRVTT,R@1,0.34,clip_finetuned_results.json
CLIP,fine_tuned,MSRVTT,R@5,0.584,clip_finetuned_results.json
CLIP,fine_tuned,MSRVTT,R@10,0.689,clip_finetuned_results.json
CLIP,fine_tuned,MSRVTT,MRR,0.4560530065702406,clip_finetuned_results.json
CLIP,fine_tuned,MSRVTT,MeanRank,27.761,clip_finetuned_results.json
CLIP,fine_tuned,MSRVTT,MedianRank,3.0,clip_finetuned_results.json
CLIP,fine_tuned,MSRVTT,Top1Accuracy,0.34,clip_finetuned_results.json
CLIP,fine_tuned,MSRVTT,Top5Accuracy,0.584,clip_finetuned_results.json
CLIP,fine_tuned,MSRVTT,avg_query_latency_sec,1.0233718147277833,clip_finetuned_results.json
